source	mor	target
PPARA	1	SPHK1
RUNX1	1	SUMO1
DNMT1	1	SFRP1
DNMT3A	1	STAT4
NFE2L2	1	MAPK8
RELB	1	HSP90B1
REL	1	HSP90B1
NFKB2	1	HSP90B1
RELA	1	HSP90B1
NFKB1	1	HSP90B1
YY1	1	UBC
RELB	1	EIF4H
REL	1	EIF4H
NFKB2	1	EIF4H
RELA	1	EIF4H
NFKB1	1	EIF4H
FOXH1	1	LEMD3
CEBPB	1	HIPK2
RELB	1	ITCH
REL	1	ITCH
NFKB2	1	ITCH
RELA	1	ITCH
NFKB1	1	ITCH
SP1	1	IKBKB
BMAL1	1	NGFR
CLOCK	1	NGFR
HIF1A	1	WSB1
MYC	1	TRAF6
KDM5A	1	CDKN1A
KDM5A	1	CDKN1B
BCL6	-1	LITAF
TP73	1	EEF1A1
TP53	1	EEF1A1
ZNF362	1	AATF
EGR1	1	GNA11
SSRP1	1	TXNIP
NFATC1	1	CDH1
NR1H2	-1	FOXM1
E2F1	1	FZD1
ZBTB7A	1	MAPK11
SP1	1	VLDLR
IRF1	1	OPTN
NR1H3	-1	FOXM1
KLF8	1	MMP14
EGR1	1	PER2
ELK1	1	PER2
JUNB	1	PAK3
JUND	1	PAK3
JUN	1	PAK3
STAT3	-1	RECK
TP53	1	SMAD2
MYC	1	SMAD2
DEAF1	1	GDF5
SP1	1	GDF5
SP3	1	GDF5
TP73	1	TRIM32
NFE2L2	1	PRKAA1
NR3C1	1	RPS6KA5
EWSR1	1	CFL1
HOXB13	1	IL6
SP1	1	FUS
NR4A1	1	INHA
NKX3-1	1	CDKN1B
NFKB1	1	BIRC5
CREB3L2	1	BDNF
SP1	1	PIAS4
KLF4	1	IL6
RUNX2	1	THBS1
CXXC1	1	BAG6
CXXC1	1	YWHAG
TCF3	1	BAG6
TCF3	1	YWHAG
BACH2	1	TP53
EGR1	-1	PNPLA2
AR	1	IGFBP3
HBP1	1	COL2A1
SP1	1	FBN1
MNT	1	TERT
MNT	1	MAX
KLF2	1	CD36
KLF4	-1	CCND1
EBF1	1	TET2
RELA	1	PDK1
TP53	1	NLRP1
TP53	1	PDK1
NR1H3	1	FOXO1
NFAT5	-1	IL6
PAX8	-1	NUPR1
EGR1	1	CXCL1
KDM5C	1	HTT
KDM5C	1	MBD2
MBD2	1	KDM5C
MBD2	1	HTT
PRDM5	1	APC
CTCF	1	FMR1
JUNB	1	TCF21
JUND	1	TCF21
JUN	1	TCF21
RELA	-1	BCL2L11
YY1	-1	BCL2L11
APEX1	1	CDKN1A
NR4A1	1	NGF
JUNB	1	MAPK13
JUND	1	MAPK13
JUN	1	MAPK13
SNAI1	1	ITGB4
KDM5B	1	KDM4A
KLF4	1	CDK4
MEF2A	1	KLF4
TFE3	1	IRS2
TFE3	1	PNPLA2
ESR2	1	NRIP1
SP1	1	STK38
GLI2	-1	CDH1
KLF2	1	CDH1
AR	1	SAFB
EZH2	1	SAFB
MAF	1	MAF1
REL	1	RACK1
PPARA	1	S1PR1
PPARG	1	S1PR1
CTCF	1	BAX
TP73	1	ATG5
CEBPB	1	STAT6
IRF3	1	IRF9
STAT2	1	IRF9
SOX4	1	BBC3
YY1	1	HMOX1
HOXA9	1	VEZF1
VEZF1	1	HOXA9
AR	1	GDI1
JUN	1	PSMA6
STAT1	1	IL1B
THRB	1	SIRT1
ETS1	1	CXCL8
HBP1	1	BMP2
JUNB	1	CDH1
JUND	1	CDH1
JUN	1	CDH1
NFATC3	1	CDH1
EZH2	1	DLG4
EZH2	1	MARK1
ETS1	-1	THBS1
RELB	1	ETS1
REL	1	ETS1
NFKB2	1	ETS1
RELA	1	ETS1
NFKB1	1	ETS1
NFKB2	1	THBS1
RELB	1	THBS1
REL	1	THBS1
RELA	1	THBS1
NFKB1	1	THBS1
NR4A2	-1	THBS1
TWIST1	-1	IL6R
EGR3	1	IFNGR1
EGR1	-1	IFNGR1
MITF	1	TG
NCOA2	1	CAV1
NRF1	-1	BRK1
PPARA	1	GADD45B
STAT3	-1	GADD45B
JUN	1	CABIN1
JUNB	1	CABIN1
JUND	1	CABIN1
AR	1	CDK5
AR	1	IL12A
MYC	1	CDK5
HOXA5	1	ZEB1
SIX1	1	ZEB1
FOXP1	1	FGF18
FOXO4	1	MYLK
TP73	-1	PLK1
HIF1A	1	SOD2
ESR2	1	MAP2K5
ZNF354C	1	CCL2
CXXC1	1	BAK1
CEBPB	1	S1PR1
FOS	1	S1PR1
FOXO3	-1	PRNP
PAX6	-1	VEGFA
RELB	1	PLK4
REL	1	PLK4
NFKB2	1	PLK4
RELA	1	PLK4
NFKB1	1	PLK4
HMGA2	1	LOX
NKX3-1	1	DKK3
NKX3-1	1	SFRP1
IRF1	1	TRIM21
IRF2	1	TRIM21
NR4A2	1	SIRT1
ESRRG	1	CDKN1A
KLF8	1	NUMB
SP3	1	PLAU
DDIT3	1	MDM2
TWIST1	1	HOXA9
ATF4	-1	IL6
PAX6	1	CD40
KLF5	1	APLN
SP1	1	APLN
RARA	1	APLN
KAT6A	1	HOXA9
KMT2A	1	HOXA9
PPARG	1	POU5F1
EZH2	1	KAT2A
PITX2	1	CCNA1
TP53	1	WNT2
NR4A1	1	FGFR1
E2F1	1	PDGFB
SMAD2	1	HOXD11
STAT5A	1	GFI1
FOS	1	GNRH1
JUN	1	GNRH1
CEBPB	1	TNFAIP3
TP53	1	GFI1
GFI1	1	TP53
TFAP2A	1	ECM1
NRG1	1	LGALS1
RELB	1	DNMT1
REL	1	DNMT1
NFKB2	1	DNMT1
RELA	1	DNMT1
NFKB1	1	DNMT1
YY1	1	SNCA
NR3C2	1	MLLT3
EPAS1	1	WDR83
NFYA	1	BMAL1
SP1	1	BMAL1
FOS	1	IL11
TFE3	-1	TXNIP
DNMT1	1	KAT2B
TFDP2	1	MYC
RARA	1	HES6
RARA	1	DAPK2
CREB1	-1	CHEK1
E2F2	-1	CHEK1
SATB1	1	TNFAIP3
SALL2	1	TP53
WT1	1	SALL2
CREB1	1	HSPA1A
CREB1	1	NFYA
RELB	1	HSPA1A
REL	1	HSPA1A
NFKB2	1	HSPA1A
RELA	1	HSPA1A
NFKB1	1	HSPA1A
SOX4	1	CALD1
NR4A1	-1	CCND1
NR4A1	-1	PCNA
EGR1	1	ACVR1
EGR2	1	ACVR1
HEY1	1	ACVR1
ZBTB7A	1	ACVR1
FOXO3	1	CAV1
SALL4	1	HOXA9
TP53	1	PER2
PBX1	1	INPPL1
PKNOX1	1	INPPL1
PREB	1	INPPL1
SP1	1	THBS1
KMT2A	1	RELA
RELA	1	KMT2A
RELB	1	KMT2A
REL	1	KMT2A
NFKB2	1	KMT2A
NFKB1	1	KMT2A
SP1	1	SH3PXD2A
RUNX1	1	PRKACA
GLI1	1	SOCS1
GLI2	1	SOCS1
NFKB1	1	MIR155HG
RELA	1	MIR155HG
KLF5	-1	MYOCD
EPAS1	1	AKT1
EPAS1	1	PIK3R1
NFE2L2	1	AKT1
NR3C1	1	LRRK2
ETS1	1	CD44
STAT3	1	MIF
HIC1	1	IL6
ELF4	1	SOD2
ELF4	1	NFKB1
NFKB1	1	FOXO3
EBF1	-1	FOXO1
ATF2	1	MAPK9
ATF2	1	PSMC6
FOS	1	PSMC6
JUN	1	PSMC6
E2F7	-1	FLT4
KLF11	1	COL1A2
KCNIP3	1	PLK4
E2F4	-1	PLK4
MAZ	1	TERT
EGR1	1	SUMO1
E2F1	1	PLK1
MEF2D	1	KDM1A
GLI2	1	TERT
MTA1	1	BMAL1
CLOCK	1	MTA1
MTA1	1	CLOCK
MTA1	1	CRY1
BMAL1	1	SIRT1
HOXA10	1	FGF2
HOXA9	1	FGF2
KMT2A	1	FGF2
SMAD7	1	MAPK1
NR2C1	1	TRIM28
NR2C2	1	TRIM28
HIF1A	1	GPR35
CREB1	1	RGS2
CREB1	1	SIK1
RELB	1	NOTCH1
REL	1	NOTCH1
NFKB2	1	NOTCH1
RELA	1	NOTCH1
NFKB1	1	NOTCH1
RBPJ	1	AKT1
GTF2IRD1	1	SIRT7
EZH2	1	KITLG
AR	1	RORA
RORA	1	SUMO1
RELA	1	TP53BP2
JUN	1	GFAP
KLF5	1	EGF
ATF1	1	DUSP1
HSF1	1	JUN
AR	1	PRKAA1
SP1	1	CDH11
ZEB2	1	CDH11
RELB	1	ACTB
REL	1	ACTB
NFKB2	1	ACTB
RELA	1	ACTB
NFKB1	1	ACTB
FOXO3	1	MAPK8
JUNB	1	PRKDC
JUND	1	PRKDC
JUN	1	PRKDC
FOXM1	1	NBN
TP53	1	OTUD5
RUNX2	-1	HBEGF
RELB	-1	PADI4
REL	-1	PADI4
NFKB2	-1	PADI4
RELA	-1	PADI4
NFKB1	-1	PADI4
RELA	1	PADI4
IRF9	1	MYOCD
ATF2	1	SOX9
CREB1	1	NEDD4L
TFCP2	1	MET
ERF	1	TRIM62
TP53	1	PSME3
SMAD3	1	PSME3
RORA	1	ROR2
RORA	1	WNT5A
TP53	-1	NEK2
YBX1	-1	CDKN2A
GLI1	-1	MLH1
GLI2	-1	MLH1
GLI1	1	BHLHE41
GLI2	1	BHLHE41
OSR1	-1	SOX9
CTCF	1	SMC3
SNAI1	1	WNT2
AR	1	KRAS
JUNB	1	CFH
JUND	1	CFH
JUN	1	CFH
MYB	1	S100A4
TFAP2A	1	S100A4
AR	1	SMYD3
ID1	1	SKP2
IRF3	1	DDX3X
TP53	1	TRIM22
SNAI1	1	ZNF281
TP53	-1	BCL3
AHR	1	JUN
TP53	1	COL2A1
HOXD1	1	MLH1
HOXD1	1	SOCS1
TWIST1	1	FOXM1
KLF7	1	FBXO38
ATF5	1	CEBPB
ATF5	1	EBP
STAT1	1	AKT1
STAT1	1	MAPK1
STAT1	1	PIK3R1
STAT5A	1	PIK3R1
AR	1	CAV1
TWIST1	1	KLF17
CEBPD	1	KLF9
KLF9	1	CEBPB
HIF1A	1	MAPK14
WT1	1	AKT1
STAT1	1	PPARA
STAT3	1	PPARA
AR	1	TBL1XR1
ELK1	1	AGTR1
ZBTB7B	1	HLA-E
TBX20	1	PPARG
SMAD7	1	SKP2
NRF1	1	EIF2S1
NRF1	1	EIF2S2
FOXO1	1	HMOX1
IRF3	1	CXCL10
WT1	-1	CDC73
MITF	1	CSF1
TP53	1	SATB1
ETV4	1	PTK2
KMT2A	1	CHD8
HES1	1	ALDH2
HES1	1	CD44
GATA6	1	FGF5
CREBZF	-1	SREBF1
DDIT3	1	CASP3
DDIT3	1	CASP9
ZBTB33	1	CDKN1B
NFKB1	1	RYK
RELB	1	USP24
MEF2D	1	CDKN1A
DLX4	1	KRT5
GRHL3	1	KRT5
CEBPB	1	TGFBR2
DDIT3	1	MMP2
MYC	1	SMARCA1
MYC	1	SMARCA4
REL	1	USP24
NFKB2	1	USP24
RELA	1	USP24
NFKB1	1	USP24
STAT3	1	CCND2
E2F1	-1	ITGA10
E2F3	1	ITGA10
SMARCA1	1	CDH1
NFKB1	1	CDK4
SP1	1	NOTCH1
RELB	1	AHR
REL	1	AHR
NFKB2	1	AHR
CLOCK	1	ICAM1
RELA	1	AHR
NFKB1	1	AHR
CLOCK	1	VCAM1
NR1D1	-1	CCL2
NFE2L2	1	BCL2L11
SP3	1	ACHE
RELB	1	TRAF3
RELB	1	BECN1
DNMT3B	1	RBL2
POU5F1	-1	AHR
ID2	1	PER1
CTCF	-1	RUNX1
ID4	1	CREBBP
MITF	1	PRKACA
NCOR1	1	ULK3
TFDP1	1	CCNA2
TP53	1	WEE1
FOXO3	1	SIRT3
JUNB	1	SPHK1
JUND	1	SPHK1
JUN	1	SPHK1
FOS	1	SPHK1
LEF1	1	FST
MAF	1	CARD11
JUNB	1	IFNE
JUND	1	IFNE
JUN	1	IFNE
ETS2	1	IFNE
HIF1A	1	BAX
HIF1A	1	ZNF667
ZNF667	1	BAX
MYC	1	CASP1
MYC	1	LRP6
CEBPB	1	PTGS1
POU2F1	1	HMGA1
POU2F2	1	HMGA1
TCF3	-1	YAP1
ZEB1	1	BMI1
ATF4	1	CYP2E1
CREB1	1	CYP2E1
HSF1	1	VAMP2
TP53	1	AREG
ATF5	1	IL1B
ATF5	1	LRP6
NFIB	1	MAPK1
AHR	1	CCND1
HSF1	1	ERBB2
HOXD10	1	IGFBP3
CREB1	1	PEBP1
SP1	1	PEBP1
POU5F1	1	MMP2
HOXB13	1	MECP2
MEF2D	1	GADD45A
MEF2D	1	GADD45B
TAF1	1	CIITA
LEF1	1	PRKN
STAT5A	-1	LEF1
BACH1	-1	PEBP1
EZH2	1	BACH1
TCF4	1	CDKN1C
BHLHE40	1	TP73
TP53	1	LRRC4
NFYA	-1	PLK1
RELB	-1	PDCD4
REL	-1	PDCD4
NFKB2	-1	PDCD4
RELA	-1	PDCD4
NFKB1	-1	PDCD4
RELA	1	PDCD4
NFATC1	1	ITPR2
TCF20	1	SQSTM1
ATF3	1	CCL2
NR2F2	-1	PTGS2
GATA2	1	AR
MTA1	-1	CDH1
MTA1	1	SNAI1
STAT6	1	NOTCH4
AHR	1	CDKN1A
SMAD7	1	SMURF1
PITX2	1	ARAP1
PAX6	1	ARAP1
ZFHX4	1	CHD4
CEBPB	1	CHKA
MYC	1	RNF31
CLOCK	1	SIRT1
TFAP2A	1	HIF1A
SMARCA5	1	SMARCA1
EGR1	1	SIVA1
HIF1A	1	CARM1
HIF1A	1	PRMT1
SP1	1	PPARA
E2F1	1	HMGN1
E2F1	1	HMGN2
E2F1	1	UHRF1
EPAS1	1	TAGLN
NRF1	1	AR
RELA	-1	AR
KLF4	-1	VCAM1
ATF3	-1	CXCL1
CEBPB	1	DPP3
RELB	1	MAML1
REL	1	MAML1
NFKB2	1	MAML1
RELA	1	MAML1
NFKB1	1	MAML1
FOXO1	1	FASN
MYC	1	EBNA1BP2
KDM5B	1	MYC
SP1	1	KDM5B
KDM2A	1	CDK6
USF1	1	TNFAIP3
NFE2L2	1	HIF1A
HIF1A	1	NFE2L2
STAT3	1	CLU
NR3C2	1	FKBP5
NR3C2	1	SGK1
RELB	1	EIF5A
REL	1	EIF5A
NFKB2	1	EIF5A
RELA	1	EIF5A
NFKB1	1	EIF5A
TP53	1	EHMT2
PITX2	1	JAZF1
NR3C1	-1	IL1B
KLF17	-1	PARK7
SFPQ	-1	CXCL8
YY1	-1	BIRC5
E2F1	1	TRIB2
EZH2	1	NOTCH1
KAT5	1	PLA2G6
TEAD4	1	S1PR1
RELA	1	STAT1
DNMT3A	1	KEAP1
DNMT3B	1	KEAP1
TET1	1	KEAP1
NFKB1	1	MCL1
CTCF	1	WT1
MYB	1	HRH1
NR3C1	1	HRH1
STAT5A	1	HRH1
ATF3	-1	BECN1
ESR2	1	IQGAP1
KDM2A	1	CD44
NFIB	-1	EZH2
ATF3	1	NFKB2
ARNT	1	SDC4
HIF1A	1	SDC4
DMAP1	1	CDKN1A
JUNB	1	NOX4
JUND	1	NOX4
JUN	1	NOX4
NKX3-1	1	XRCC6
RELB	1	RSF1
REL	1	RSF1
NFKB2	1	RSF1
RELA	1	RSF1
NFKB1	1	RSF1
EGR2	1	EPHA4
LEF1	-1	CYLD
RELA	1	TRAF6
CEBPB	1	GNAI2
CEBPG	1	GNAI2
CEBPG	1	SP1
SP1	1	GNAI2
FOXM1	1	CDC6
NR2C2	1	ATM
TP53	-1	PIAS3
KLF5	1	HK1
JUN	1	MAPK12
CREB1	1	GEM
RUNX1	-1	LAT2
STAT5A	1	FOSL2
PRDM1	1	SNCA
CREB1	1	DYRK1B
TRPS1	1	VEGFA
TP53	1	MAPK13
TFAM	1	HSPA4
SOX5	1	TWIST1
SOX5	-1	CDH1
SOX5	1	CDH2
SOX5	1	FN1
ARNT	1	CDKN2B
TFCP2	1	SOCS5
SP2	1	CCND1
SMAD4	-1	EGFR
MYC	1	DVL2
JUN	1	SMURF1
SMAD1	1	EGF
CEBPB	1	APRT
EGR1	1	KRT5
JUN	1	RHOB
AHR	1	YY1
PPARD	1	CYP1A1
GATA2	1	FCER1G
KAT5	1	HSPA4
TP53	1	IL6R
HOXC11	-1	PAWR
NCOA1	1	PAWR
EZH2	1	PTGS2
DNMT1	1	PTGS2
AHR	1	RHOA
GATA6	1	FZD2
HMGA2	1	FZD2
CEBPG	1	HSPA4
NFIA	1	HSPA4
SP1	1	HSPA4
MEF2D	1	ATM
SP1	1	BRK1
KLF15	1	NFATC1
CTCF	1	WRAP53
NFE2L2	1	ACHE
SP1	1	SUMO1
IRF5	1	SPP1
RFX5	1	SIN3B
RARA	1	APRT
CREB3L1	1	SDCBP
EZH2	1	PTEN
CTCF	1	HDLBP
MYC	1	HDLBP
ETV2	1	FLI1
FLI1	1	TEK
SMAD4	1	BCL2
EGR3	1	NOTCH1
ESR2	1	NOTCH1
MBD2	1	BMI1
SATB1	-1	CDKN1A
TCF3	1	UNG
NR1H3	1	S100A9
KAT7	1	FTH1
ZBED1	1	EPHA5
STAT5A	1	ABL1
GABPA	1	AR
DNMT1	-1	KLF4
DNMT3A	-1	KLF4
STAT3	-1	BECN1
SNAI1	1	PTGER4
NCOA1	1	NHERF2
VDR	1	PTH1R
SP1	1	WNT9A
STAT3	1	ARID5A
NFIL3	1	BMP4
AR	1	BMP4
HNF1B	1	GJA1
TP53	1	BRAP
TP53	1	CTNND1
KDM5B	1	FOXA1
YY1	1	PRKN
GTF3A	1	ABCA1
AR	1	CEBPD
NCOA2	1	PPARA
NR3C1	1	PPARG
PBX1	1	PAX6
NCOR2	1	CDKN1A
PRDM1	1	HSPA5
STAT5A	1	BCL2L11
STAT1	-1	PRKCE
MYC	1	CTBP2
AR	1	HEXIM1
KDM5B	1	HEXIM1
STAT3	1	HAS2
JUNB	1	ERN1
TP53	1	HSPB2
FOXO1	1	TWIST1
IRF6	1	TLR2
IRF6	1	IRAK1
IRF6	1	MYD88
IRF6	1	CCL5
IRF6	1	CXCL8
GTF2I	1	POLR2F
SNAI1	1	PLSCR1
MEF2C	1	HNRNPD
NFKB2	1	HES1
RELB	1	HES1
HES1	1	GADD45A
STAT1	1	GADD45A
MYC	1	BSG
AHR	1	GNRH1
AHR	1	KISS1
AR	1	GNRH1
AR	1	KISS1
ARNT	1	GNRH1
ARNT	1	KISS1
ESR2	1	GNRH1
ESR2	1	KISS1
STAT5B	1	GNRH1
STAT5B	1	KISS1
RELB	1	RAC3
REL	1	RAC3
NFKB2	1	RAC3
RELA	1	RAC3
NFKB1	1	RAC3
EZH2	-1	NFE2L2
NFE2L2	1	FGFR1
PPARA	1	NAMPT
PPARD	1	NAMPT
AR	1	KMT5A
TCF12	1	KMT5A
NKX3-1	1	AKT1
STAT1	1	PARK7
ELF3	-1	POU5F1
MYB	1	DUSP6
MYB	1	KRAS
ZBTB33	1	MUC1
ETV4	1	POU5F1
HEY1	-1	CDKN1C
FOXC2	1	CDH1
KLF8	1	BCL2
JUN	1	JUND
RBPJ	1	CRTC1
ATF4	1	CDC42
XBP1	1	RBFOX2
HOXA10	1	HOXB4
HOXA10	1	PRDM16
HOXA9	1	HOXB4
HOXA9	1	PRDM16
HOXB4	1	PRDM16
TBP	1	TPI1
HIF1A	1	PRDX3
TP53	1	KLF17
KLF17	-1	CCND1
KLF17	-1	CD44
KLF17	-1	SERPINE1
ATF4	1	STAT3
HBP1	1	BTG1
MYC	1	BTG1
HIF1A	1	LEPR
ZBTB7A	-1	PKM
ELK3	1	ACHE
SMAD2	1	FGF2
SMAD3	1	FGF2
LITAF	1	ACHE
MNT	1	IL1B
RARA	1	LAMB1
RARG	1	LAMB1
JUNB	1	APRT
JUND	1	APRT
JUN	1	APRT
HOXA7	1	ACTB
YBX1	1	ACHE
ARHGAP35	1	RAP1A
FOS	1	PADI4
TEAD2	1	EGFR
JUNB	1	HMBS
JUND	1	HMBS
JUN	1	HMBS
MYC	1	AXIN1
MYC	1	FGFR1
TFAP2A	1	AXIN1
NR3C1	1	CYP1A1
DBP	1	AFP
E4F1	1	TCF3
SSRP1	1	PVR
TCF3	1	STXBP1
FOS	1	PLAT
FOS	1	MYB
GTF3A	1	LPP
SP1	1	SERPINC1
CEBPZ	1	COL1A2
MAF	1	MIF
DBP	1	CISH
DBP	1	TCF3
TCF3	1	CISH
AR	1	TNFRSF1B
TP53	1	CD40
POU3F2	1	HLA-E
USF1	1	POU3F2
TP53	-1	PLAT
ATF1	1	PCNA
CREM	1	CAMK4
JDP2	1	IGBP1
IRF1	-1	IL6
NR2F1	1	BMP4
TBPL1	1	PMEL
RELA	1	TNFRSF11A
IRF1	1	ICAM1
MYC	1	IL7
STAT1	1	FOS
STAT1	1	PDGFB
RARB	-1	AFP
STAT5A	1	A2M
RELB	1	SMAD3
JUNB	1	KRT18
ARID5A	1	MBP
REL	1	SMAD3
NFKB2	1	SMAD3
RELA	1	SMAD3
NFKB1	1	SMAD3
E2F1	1	UNG
GTF3A	1	IGF2
JUN	1	AFP
SP1	1	KRT18
POU3F1	-1	MBP
CEBPG	1	AFP
SP1	1	LGALS3
ETS2	1	CCND1
EGR1	-1	MYB
ZNF91	1	ZFP36
MYRF	1	FGF2
JUNB	1	ATM
JUND	1	ATM
JUN	1	ATM
NFATC2	1	ATM
TCF12	1	NGFR
TCF12	1	TNFRSF1B
NFIL3	1	PVR
NR4A1	1	HSPA9
FOS	1	ZFP36L1
TFAP2A	1	NF1
PPARA	-1	GSTP1
BCLAF1	1	ERCC3
ERF	-1	ETS2
TCF12	1	ID2
NHLH1	1	ID2
SP3	1	CDKN2B
FOXM1	1	PROC
PBX1	1	PRKACA
TCF3	1	PRKACA
WT1	-1	EGR1
TBP	1	IL1B
SP1	1	ACTB
SP1	1	PER1
SP1	1	PER3
HOXA1	1	HOXA4
ID1	1	EPOR
FOS	1	ACHE
FOS	1	CDH1
CEBPB	1	U2AF1
CEBPD	1	U2AF1
CEBPG	1	U2AF1
CEBPG	1	GSTP1
ZNF362	1	GSTP1
ZNF362	1	U2AF1
RARB	1	ICAM1
RXRA	1	ICAM1
RARA	1	ICAM1
JUN	1	HBEGF
JUNB	1	DIDO1
JUND	1	DIDO1
JUN	1	DIDO1
SP1	1	PTGFR
ABL1	1	TP53
AR	1	MBP
PURA	1	MBP
NR3C1	-1	ICAM1
NR2F1	-1	MAP2
SP1	1	ABL1
TFAP2A	1	ABL1
TBP	1	PVR
REL	1	PKD1
WT1	1	RARA
RELB	1	PKD1
NFKB2	1	PKD1
RELA	1	PKD1
NFKB1	1	PKD1
CEBPB	1	CYP2E1
DBP	1	CYP2E1
HNF1B	1	CYP2E1
MYB	1	ERBB2
MYBL2	-1	ERBB2
TBP	-1	ERBB2
TBP	1	MYB
TAF1	1	RB1
TFDP1	1	PCNA
MYC	1	PDIK1L
TFDP1	1	MYC
JUN	1	ATP6AP1
NFIC	1	COL1A2
FOS	1	CTSD
ZNF91	1	GFI1
TFAP2A	1	NR3C1
STAT1	1	KITLG
STAT5A	1	KITLG
JUND	1	IL1A
SSRP1	1	PML
NFYA	1	COL1A2
NFYC	1	COL1A2
NR3C1	1	INSR
NR2F1	-1	POU5F1
ZNF362	1	HRAS
EGR1	1	ACHE
MYC	1	PRKAR2B
JUNB	1	HRAS
JUND	1	HRAS
JUN	1	HRAS
JUN	1	CASP1
RELB	1	LAMC1
REL	1	LAMC1
NFKB2	1	LAMC1
RELA	1	LAMC1
NFKB1	1	LAMC1
RB1	-1	FOS
CEBPB	1	TNFAIP6
FOS	1	A2M
STAT3	1	PDGFB
MAX	1	SIN3A
MXD1	1	SIN3A
DLX4	1	PDGFA
HOXC6	1	TTF1
CUX1	-1	NCAM1
HOXA4	1	TTF1
HOXB3	1	TTF1
HOXC5	1	TTF1
HOXC8	1	TTF1
HOXD3	1	TTF1
HOXD4	1	TTF1
HOXD9	1	CDH1
HOXA1	1	L1CAM
RELB	1	PREB
REL	1	PREB
NFKB2	1	PREB
RELA	1	PREB
NFKB1	1	PREB
RELA	1	F3
PHF20	1	TGFB1I1
JUNB	1	TNFAIP6
JUND	1	TNFAIP6
JUN	1	TNFAIP6
JUNB	1	BCL2
FOS	1	TNFAIP6
JUNB	1	BAX
FOS	1	FAP
TFDP1	1	ACHE
CEBPG	1	AGT
HOXA1	1	ACTB
ELF4	1	CCNG1
FUS	1	DDIT3
TFDP1	1	TNFRSF11A
TBP	1	GFAP
RELB	1	NFKB2
REL	1	NFKB2
NFKB2	1	NFKB2
RELA	1	NFKB2
NFKB1	1	NFKB2
REL	1	TSPOAP1
RUNX1	1	CSF1
TP53	-1	CKB
MYCL	1	RLF
CEBPG	1	INSR
RBPJ	1	TERT
POU2F2	1	TSPOAP1
TTF1	1	PRKACA
IRF1	1	JUN
ATF3	1	PRKACA
TFAP2A	1	HMOX1
POU3F2	1	EGFR
IRF1	1	ODC1
TFAP2A	1	DST
RBPJ	1	FCER1G
WT1	1	JUN
MYC	1	CDK1
FOS	1	NQO1
JUNB	1	POSTN
JUND	1	POSTN
JUN	1	POSTN
FOSL1	1	POSTN
MAX	1	IL6
PAX8	1	NCAM1
FOS	1	ODC1
RARG	1	SPARC
SP1	-1	CSF1
NFE2L2	1	TFAM
CREM	1	PTPRC
ATF2	1	TGFB2
TBP	1	EGFR
YBX1	1	HLA-E
EWSR1	1	MYC
FLI1	1	MYC
FOS	1	POSTN
MYB	1	HSPA4
MAX	1	PTMA
MAX	-1	CCND1
USF1	1	CCND1
JUNB	1	CTSB
JUND	1	CTSB
JUN	1	CTSB
MXD1	1	MAX
EGR1	1	RB1
ETV4	1	ETS1
